文件夹 CSVD001 的像素统计结果：
    类别 0.0: 26916075 像素点
    类别 1.0: 2145304 像素点
    类别 2.0: 2725572 像素点
    类别 3.0: 1466558 像素点
    类别 5.0: 9113209 像素点
    类别 6.0: 46076 像素点
    类别 7.0: 1962082 像素点
    类别 8.0: 506783 像素点
    类别 9.0: 197196 像素点
    类别 10.0: 9913 像素点
文件夹 CSVD002 的像素统计结果：
    类别 0.0: 27800466 像素点
    类别 1.0: 2144792 像素点
    类别 2.0: 2631959 像素点
    类别 3.0: 1174302 像素点
    类别 5.0: 8896229 像素点
    类别 6.0: 47503 像素点
    类别 7.0: 1745826 像素点
    类别 8.0: 452412 像素点
    类别 9.0: 186767 像素点
    类别 10.0: 8512 像素点
文件夹 CSVD003 的像素统计结果：
    类别 0.0: 27902594 像素点
    类别 1.0: 2250620 像素点
    类别 2.0: 2669279 像素点
    类别 3.0: 1402116 像素点
    类别 5.0: 8454231 像素点
    类别 6.0: 42365 像素点
    类别 7.0: 1778805 像素点
    类别 8.0: 381175 像素点
    类别 9.0: 199666 像素点
    类别 10.0: 7917 像素点
文件夹 CSVD004 的像素统计结果：
    类别 0.0: 29076833 像素点
    类别 1.0: 1941819 像素点
    类别 2.0: 2649344 像素点
    类别 3.0: 1316328 像素点
    类别 5.0: 7963285 像素点
    类别 6.0: 42342 像素点
    类别 7.0: 1530737 像素点
    类别 8.0: 383628 像素点
    类别 9.0: 177265 像素点
    类别 10.0: 7187 像素点
文件夹 CSVD005 的像素统计结果：
    类别 0.0: 27725806 像素点
    类别 1.0: 1900344 像素点
    类别 2.0: 2569934 像素点
    类别 3.0: 1330263 像素点
    类别 5.0: 9083458 像素点
    类别 6.0: 45670 像素点
    类别 7.0: 1733308 像素点
    类别 8.0: 501910 像素点
    类别 9.0: 189923 像素点
    类别 10.0: 8152 像素点
文件夹 CSVD006 的像素统计结果：
    类别 0.0: 27960751 像素点
    类别 1.0: 2050458 像素点
    类别 2.0: 2748632 像素点
    类别 3.0: 926091 像素点
    类别 5.0: 9031311 像素点
    类别 6.0: 63107 像素点
    类别 7.0: 1799260 像素点
    类别 8.0: 338161 像素点
    类别 9.0: 165385 像素点
    类别 10.0: 5612 像素点
文件夹 CSVD007 的像素统计结果：
    类别 0.0: 27658691 像素点
    类别 1.0: 2053132 像素点
    类别 2.0: 2572891 像素点
    类别 3.0: 1145752 像素点
    类别 5.0: 9226663 像素点
    类别 6.0: 43441 像素点
    类别 7.0: 1756815 像素点
    类别 8.0: 465858 像素点
    类别 9.0: 157360 像素点
    类别 10.0: 8165 像素点
文件夹 CSVD008 的像素统计结果：
    类别 0.0: 27569200 像素点
    类别 1.0: 1991213 像素点
    类别 2.0: 2618745 像素点
    类别 3.0: 1111228 像素点
    类别 5.0: 9646421 像素点
    类别 6.0: 43588 像素点
    类别 7.0: 1443321 像素点
    类别 8.0: 475534 像素点
    类别 9.0: 180231 像素点
    类别 10.0: 9287 像素点
文件夹 CSVD009 的像素统计结果：
    类别 0.0: 29228270 像素点
    类别 1.0: 1771638 像素点
    类别 2.0: 2281756 像素点
    类别 3.0: 1057633 像素点
    类别 5.0: 7930051 像素点
    类别 6.0: 43806 像素点
    类别 7.0: 1670282 像素点
    类别 8.0: 190220 像素点
    类别 9.0: 121344 像素点
    类别 10.0: 7336 像素点
文件夹 CSVD010 的像素统计结果：
    类别 0.0: 28480174 像素点
    类别 1.0: 1906774 像素点
    类别 2.0: 2615742 像素点
    类别 3.0: 1044956 像素点
    类别 5.0: 8848785 像素点
    类别 6.0: 49679 像素点
    类别 7.0: 1499612 像素点
    类别 8.0: 489117 像素点
    类别 9.0: 145769 像素点
    类别 10.0: 8160 像素点
文件夹 DYJK001 的像素统计结果：
    类别 0.0: 25979559 像素点
    类别 1.0: 2252558 像素点
    类别 2.0: 3116824 像素点
    类别 3.0: 904610 像素点
    类别 5.0: 7326085 像素点
    类别 6.0: 46751 像素点
    类别 7.0: 1699946 像素点
    类别 8.0: 430325 像素点
    类别 9.0: 178968 像素点
    类别 10.0: 7414 像素点
文件夹 DYJK002 的像素统计结果：
    类别 0.0: 26186235 像素点
    类别 1.0: 2149857 像素点
    类别 2.0: 2865572 像素点
    类别 3.0: 909598 像素点
    类别 5.0: 7541745 像素点
    类别 6.0: 50935 像素点
    类别 7.0: 1825062 像素点
    类别 8.0: 226430 像素点
    类别 9.0: 179385 像素点
    类别 10.0: 8221 像素点
文件夹 DYJK003 的像素统计结果：
    类别 0.0: 26417901 像素点
    类别 1.0: 2196188 像素点
    类别 2.0: 2792052 像素点
    类别 3.0: 872830 像素点
    类别 5.0: 7209801 像素点
    类别 6.0: 50666 像素点
    类别 7.0: 1810829 像素点
    类别 8.0: 409200 像素点
    类别 9.0: 175630 像素点
    类别 10.0: 7943 像素点
文件夹 DYJK004 的像素统计结果：
    类别 0.0: 25425658 像素点
    类别 1.0: 2296213 像素点
    类别 2.0: 3035378 像素点
    类别 3.0: 1042958 像素点
    类别 5.0: 7452048 像素点
    类别 6.0: 59573 像素点
    类别 7.0: 1916866 像素点
    类别 8.0: 516645 像素点
    类别 9.0: 189346 像素点
    类别 10.0: 8355 像素点
文件夹 DYJK005 的像素统计结果：
    类别 0.0: 22290802 像素点
    类别 1.0: 2647441 像素点
    类别 2.0: 3389538 像素点
    类别 3.0: 1598564 像素点
    类别 5.0: 8829561 像素点
    类别 6.0: 50443 像素点
    类别 7.0: 2322001 像素点
    类别 8.0: 554866 像素点
    类别 9.0: 251712 像素点
    类别 10.0: 8112 像素点
文件夹 DYJK006 的像素统计结果：
    类别 0.0: 22434651 像素点
